ID,Lat,Lon,pm25_value,AOD550,temp_2m,rhum,zonal_wind_10m,merid_wind_10m,surf_pres,hpbl,conv_prec,short_radi_surf,NDVI,DEM,Population,distance,NLCD_Developed,year,month,doy,rid
2577,-12.163311,-76.9192429,25.90141625,0.201534964,290.0169282,93.54515,-0.222342859,0.412847689,83481.01582,302.6546287,0.150558,69.4937919560185,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,66,2
4454,-11.8665352,-77.0730057,27.14166667,0.18538,288.643273,91.57899,-0.051865695,0.473231687,81511.84026,608.5710218,0.174307,69.6495633101852,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,66,2
2577,-12.163311,-76.9192429,30.67014375,0.191406609,289.9173202,95.4686,0.385991714,0.27964191,83487.10565,257.4545755,0.385971,65.7183989814815,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,67,2
4454,-11.8665352,-77.0730057,35.275,0.2056955,288.6618994,93.2437,0.357955144,0.250071418,81510.51053,662.4842917,0.276305,61.8430096759259,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,67,2
2577,-12.163311,-76.9192429,38.82221036,0.1926305,290.1126867,92.48296,-0.262353608,0.50898177,83462.58233,330.1761762,1.056573,51.3324889930555,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,68,2
4454,-11.8665352,-77.0730057,37.05,0.178292,288.8030963,88.59656,-0.319117551,0.402571306,81485.37562,644.2088678,0.100241,48.4408156365741,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,68,2
2577,-12.163311,-76.9192429,35.45416958,0.257,290.4891561,87.7975,-0.71195837,0.653823888,83420.61616,267.2628251,0.370272,71.9773397800926,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,69,2
4454,-11.8665352,-77.0730057,30.55833333,0.183,289.0517036,87.44236,-0.592804833,0.724352939,81450.46264,397.7948684,0.0319,69.227326712963,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,69,2
2577,-12.163311,-76.9192429,32.65579,0.2280665,290.8103237,86.98145,-0.196337183,0.468374321,83476.16606,241.2104023,0.00445,89.339761875,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,70,2
4454,-11.8665352,-77.0730057,35.59166667,0.2018585,289.4037234,87.34019,-0.106837243,0.518090281,81504.62637,439.0582423,0.00248,83.9082346875,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,70,2
2577,-12.163311,-76.9192429,34.05201542,0.178067,290.4363682,89.73172,-0.387363134,0.750984297,83428.91469,249.9743449,0.114491,87.5910172106481,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,72,2
3431,-12.0284128,-76.9188995,25.6509979,0.2115435,289.4425664,88.52753,-0.345443536,0.585556817,81418.54228,318.4320207,0.0888,87.8867136805556,0.102,372.6666667,2979,884.9861099,0.4540568895,2016,3,72,2
